Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,"VORP
▼",Awards
203,Pete Nance,25,MIL,PF,4,0,11,45.6,1.083,0.667,0,0,20.7,10.4,21.4,0,0,0,24,0.1,0,0.1,0.356,26.8,3.5,30.2,0.1,
204,Marvin Bagley III,26,WAS,PF,17,4,302,19.2,0.647,0.091,0.333,13.9,15.3,14.6,10.6,1.4,3.7,12.4,17.9,0.7,0.1,0.7,0.116,0.7,-1.4,-0.7,0.1,
205,Tolu Smith,25,DET,PF,2,0,22,36.2,0.767,0,0.875,20.1,34.3,27.3,14.7,2.2,4.4,8.3,22.4,0.1,0.1,0.2,0.407,9.9,3.5,13.4,0.1,
206,Keegan Murray,25,SAC,PF,7,6,270,14.7,0.52,0.417,0.165,5.2,17.1,10.9,6.4,2.5,3.4,3.5,18,0.1,0.2,0.3,0.058,-0.7,0.1,-0.6,0.1,
207,Daniss Jenkins,24,DET,PG,18,6,336,14.4,0.53,0.351,0.224,4,7.7,5.9,27.9,2.7,0.3,15,21.1,0.2,0.4,0.7,0.095,-0.8,-0.1,-0.9,0.1,
208,Jalen Williams,24,OKC,SG,4,4,120,17.5,0.507,0.14,0.246,1,19.1,10.6,28.7,1.6,4.2,8.7,25,0.1,0.3,0.4,0.145,-0.5,1.2,0.6,0.1,
209,De'Andre Hunter,28,CLE,SF,20,20,571,14,0.582,0.512,0.296,2.4,14.6,8.4,12.5,1.2,0.5,10.5,22.8,0.6,0.5,1.1,0.092,-0.5,-0.9,-1.4,0.1,
210,P.J. Washington,27,DAL,PF,19,19,602,13.1,0.531,0.352,0.3,4.7,21.1,13,11.2,1.4,3.2,14.6,23.5,-0.6,0.9,0.4,0.028,-2.2,0.6,-1.5,0.1,
211,Coby White,25,CHI,SG,6,4,180,19.4,0.593,0.495,0.495,1.2,9.1,5.3,32.4,1,0,12.4,31.7,0.3,0.1,0.4,0.102,2.5,-2.6,-0.1,0.1,
212,Jordan Miller,26,LAC,SF,4,0,54,20.5,0.7,0.526,0.632,6.4,12.6,9.6,8.5,1.8,0,11,22.1,0.2,0,0.2,0.179,4.4,-1.5,2.8,0.1,
213,Noah Penda,21,ORL,SF,12,0,108,17.8,0.609,0.273,0.273,18.5,20.6,19.5,15.5,0.4,2.4,14,16.6,0.3,0.1,0.4,0.183,1.6,-1,0.7,0.1,
